PPO Alone,NSGA-II + PPO
1797.156005859375,2235.996337890625
1631.0899658203125,2261.4169921875
1528.9893798828125,2404.230712890625
1557.8826904296875,2276.7080078125
1733.591064453125,2122.322021484375
1862.808349609375,2219.6455078125
1813.92822265625,2042.03076171875
1984.1318359375,2139.519287109375
1800.5087890625,2240.130615234375
1669.6663818359375,2172.990478515625
2076.37744140625,2142.92236328125
1658.3558349609375,2417.8544921875
2032.3778076171875,2172.6806640625
1760.709716796875,2081.492919921875
1835.197509765625,2059.172607421875
1751.0072021484375,2254.63623046875
1983.7080078125,2160.31494140625
1737.4322509765625,2188.19189453125
1988.0513916015625,2236.1865234375
1981.4478759765625,2342.74462890625
1529.1168212890625,2183.599609375
1881.13720703125,2133.687255859375
1755.859619140625,2444.644287109375
2125.76904296875,2331.546142578125
2020.9791259765625,1968.97802734375
